gene1,gene2,weight
A2M,SERPIND1,0.771
A2M,SERPINE1,0.804
A2M,SERPINF1,0.88
A2M,SERPINF2,0.968
A2M,SERPING1,0.905
A2M,SHBG,0.414
A2M,SLC40A1,0.478
A2M,SLC6A4,0.437
A2M,SORL1,0.585
A2M,SPARCL1,0.418
A2M,SRRM1,0.416
A2M,TF,0.82
A2M,TGFB1,0.91
A2M,TGFB2,0.621
A2M,THBD,0.415
A2M,THBS1,0.592
A2M,THPO,0.428
A2M,TIMP1,0.736
A2M,TIMP2,0.466
A2M,TIMP3,0.484
A2M,TMPRSS6,0.515
A2M,TNF,0.828
A2M,TTR,0.905
A2M,VLDLR,0.607
A2M,VTN,0.524
A2M,VWF,0.603
A2ML1,CAPN14,0.411
A2ML1,COL17A1,0.403
A2ML1,CTRB1,0.799
A2ML1,CTRB2,0.825
A2ML1,DEFA1B,0.408
A2ML1,DSC1,0.533
A2ML1,DSC3,0.43
A2ML1,DSG1,0.608
A2ML1,DSG3,0.683
A2ML1,DSP,0.605
A2ML1,DST,0.597
A2ML1,EPPK1,0.574
A2ML1,EVPL,0.709
A2ML1,KLK6,0.77
A2ML1,KLK7,0.835
A2ML1,KRTDAP,0.481
A2ML1,LZTR1,0.621
A2ML1,NCCRP1,0.434
A2ML1,NRAS,0.406
A2ML1,PKP3,0.535
A2ML1,PLEC,0.602
A2ML1,PPL,0.721
A2ML1,PTPN11,0.445
A2ML1,RASA2,0.622
A2ML1,RRAS,0.553
A2ML1,SCEL,0.42
A2ML1,SFTPD,0.49
A2ML1,SHOC2,0.64
A2ML1,SOS1,0.507
A2ML1,SOS2,0.507
A2ML1,SPINK5,0.46
A2ML1,SPINK7,0.405
A2ML1,SPRR1B,0.426
A2ML1,TMPRSS11B,0.476
A3GALT2,A4GALT,0.592
A3GALT2,B3GALNT1,0.941
A3GALT2,B3GALT1,0.461
A3GALT2,B3GNT5,0.465
A3GALT2,B4GALT5,0.443
A3GALT2,B4GALT6,0.858
A3GALT2,CD1D,0.46
A3GALT2,FANCM,0.532
A3GALT2,FUT2,0.43
A3GALT2,GLA,0.413
A3GALT2,GLB1,0.804
A3GALT2,UGCG,0.426
A4GALT,ABHD14A,0.459
A4GALT,ABHD17B,0.536
A4GALT,B3GALNT1,0.996
A4GALT,B3GALT1,0.838
A4GALT,B3GALT2,0.805
A4GALT,B3GALT4,0.871
A4GALT,B3GALT5,0.535
A4GALT,B3GNT5,0.623
A4GALT,B3GNT9,0.43
A4GALT,B4GALT1,0.947
A4GALT,B4GALT2,0.924
A4GALT,B4GALT3,0.922
A4GALT,B4GALT4,0.938
A4GALT,B4GALT5,0.663
A4GALT,B4GALT6,0.939
