gene1,gene2,weight
CD74,HLA-DQB1,997
CD74,HLA-F,845
CD74,RPS5,981
CD74,HLA-DOA,966
CD74,POLR2B,770
CD74,RPL26L1,937
CD74,DCAF13,785
CD74,MRPL33,967
CD74,H0YIJ7_HUMAN,730
CD74,NOP56,804
CD74,RPS28,980
CD74,RPS25,978
CD74,QARS1,706
CD74,MED1,937
CD74,HEATR1,791
CD74,CXCR4,994
CD74,CD44,999
CD74,UTP4,788
CD74,RPL10A,935
CD74,HLA-DQA2,992
CD74,MRPL12,971
CD74,MRPL21,969
CD74,RPL8,980
CD74,TEX48,805
CD74,RPS20,981
CD74,MRPS9,957
CD74,CTSS,981
CD74,RPL23A,981
CD74,RPL17,935
CD74,HLA-DQB2,966
CD74,RPS8,979
CD74,PDF,763
CD74,MRPL17,971
CD74,RPL22L1,904
CD74,RPS15,981
CD74,RPS2,981
CD74,CCDC105,845
CD74,EIF1B,810
CD74,RPL24,975
CD74,RPS10-NUDT3,935
CD74,RPL37A,972
CD74,MRPS6,969
CD74,UBA52,973
CD74,RPS6,978
CD74,RPL26,937
CD74,WDR75,766
CD74,UTP15,779
CD74,EIF5,840
CD74,NSA2,805
CD74,LGMN,932
CD74,H3BNC9_HUMAN,895
CD74,TUFM,972
CD74,RPS24,981
CD74,RPL11,981
CD74,RPS27L,934
CD74,MRPS12,888
CD74,ISG15,714
CD74,MRPL11,774
CD74,EEF1B2,717
CD74,RPS21,979
CD74,RPL9,980
CD74,RPL18,977
CD74,HLA-DMA,994
CD74,RPL7,936
CD74,IMP3,938
CD74,NOC4L,812
CD74,EIF3A,746
CD74,ITGB2,721
CD74,NOP58,798
CD74,MRPL32,968
CD74,RPL13,976
CD74,MIF,999
CD74,RPL6,980
CD74,MRPL2,836
CD74,AKNAD1,905
CD74,MRPL4,835
CD74,MRPL13,847
CD74,RPL36,981
CD74,RPL27A,978
CD74,HLA-DQA1,994
CD74,RPS10,935
CD74,MRTO4,888
CD74,RPS4Y2,861
CD74,HLA-DRB1,995
CD74,RPL7A,974
CD74,RPL23,981
CD74,RPL7L1,932
CD74,RPS19,985
CD74,CXorf66,934
CD74,POLR1A,802
CD74,MRPS16,970
CD74,RPP38,715
CD74,RACK1,976
CD74,RPL15,977
CD74,MRPL49,769
CD74,RPL35,980
CD74,RPSA,981
CD74,RPS12,979
CD74,RPL19,978
CD74,RPS16,981
CD74,WDR31,888
CD74,RPL5,982
CD74,RPL34,979
CD74,RSL1D1,771
CD74,RPS18,982
CD74,SIL1,774
CD74,BYSL,837
CD74,RPL10,930
CD74,NGDN,790
